Emma,137,Emma,it,[mark  nmod  nsubj  aux  advmod  dobj  nmod  advcl],class,0,0,0,0
Emma,23,Emma,whom,[dobj  nsubj  advmod  nmod  cc  conj],knew,0,0,0,0
Emma,467,0,0,[case  compound  compound  cc  conj],Weston,0,0,0,0
Emma,659,0,Emma,[nmod  csubj  dobj  advcl  dep  nmod],cried,0,first,cried,0
Emma,424,Emma,0,[nsubj],said,0,0,0,0
Emma,572,it,0,[nmod  nsubj  cop  advmod  nmod],dulness,0,0,0,0
Emma,403,Emma,0,[nsubj  xcomp  nmod  cc  conj],felt,0,sorry,felt,0
Emma,11,Emma,0,[nsubj  ccomp  cc  conj],knows,0,0,0,0
Emma,431,Emma,0,[nsubjpass  auxpass  neg  nmod  xcomp],required,0,0,0,0
Emma,312,0,0,[nmod:poss  compound  amod  nmod],opinion,0,good,opinion,0
Emma,712,0,0,[compound  acl:relcl],Woodhouse,0,0,0,0
Emma,551,Emma,expectations,[nsubj  dobj  nmod],professed,0,from,it,0
Emma,385,Emma,0,[nsubj  cop  advmod  xcomp],happy,0,0,0,0
Emma,591,0,0,[case  nmod:poss  amod],thoughts,0,',Emma,0
Emma,118,Emma,0,[nsubj  nmod  cc  conj],assisted,0,with,invention,0
Emma,66,one,0,[nmod  nsubj  nmod],feels,0,in,what,0
Emma,215,It,thing,[nsubj  ccomp  nsubj  nsubj  dobj],confesses,0,0,0,0
Emma,191,0,0,[case  nmod:poss  amod  acl],resolution,0,0,0,0
Emma,428,Emma,0,[dep  nsubj  cop  advmod  case  det],loss,0,0,0,0
Emma,48,Emma,0,[nsubj  cop  advcl],spoiled,0,0,0,0
Emma,3,0,0,[case  nmod:poss  amod],situation,0,0,0,0
Emma,404,You,0,[nsubj  nsubj  nsubj  cop  advmod  nmod],out,0,0,0,0
Emma,145,Emma,0,[nsubj  nmod  nmod  xcomp],passed,0,into,it,0
Emma,92,Emma,0,[nsubj  aux  nmod  cc  conj],allow,0,0,0,0
Emma,431,Emma,0,[nsubjpass  auxpass  neg  nmod  xcomp],required,0,by,discovery,0
Emma,343,Knightley,Emma,[nmod  nsubj  dobj],exclaimed,0,See,consequence,0
Emma,111,0,0,[case  nmod:poss  amod  acl],side,0,',Emma,0
Emma,378,Emma,0,[nsubj  ccomp  conj  cc  conj],said,0,awkward,said,0
Emma,64,Emma,end,[mark  nsubj  aux  dobj  nmod  advmod],put,0,to,it,0
Emma,95,0,0,[case  compound  compound  cc  conj  dep  compound  compound  acl:relcl],Woodhouse,0,0,0,0
Emma,242,Emma,0,[nsubj],said,0,0,0,0
Emma,597,0,0,[compound],time,0,0,0,0
Emma,107,0,0,[case  compound  appos],Smith,0,0,0,0
Emma,369,Emma,her,[nsubj  dobj  nmod],joined,0,in,praise,0
Emma,191,0,0,[case  nmod:poss  amod  acl],resolution,0,s,resolution,0
Emma,569,0,0,[nmod:poss  amod  nmod],words,0,to,Emma,0
Emma,457,0,0,[nmod:poss  amod  cc  conj],Isabella,0,s,Isabella,0
Emma,636,0,Emma,[dobj],cried,0,0,0,0
Emma,728,XVI,0,[nsubj  cop  det  amod  nmod  advcl],relief,0,great,relief,0
Emma,105,infatuation,you,[advmod  nsubj  dobj],blinds,0,0,0,0
Emma,99,Emma,0,[nsubj  ccomp],knew,0,0,0,0
Emma,511,Emma,0,[nmod  dep  advcl  nsubj  aux  neg],interfere,0,TRUE,interfere,0
Emma,556,Weston,0,[nmod  nsubj  ccomp  cc  conj],found,0,In,Emma,0
Emma,155,0,0,[nmod:poss  amod  nmod],sense,0,s,sense,0
Emma,212,0,0,[cc  expl  aux  cop  amod  nmod],Emma,0,0,0,0
Emma,191,0,0,[case  nmod:poss  amod  acl],resolution,0,',Emma,0
Emma,62,John,Emma,[nsubj  dobj  cc  conj  cc  conj],loves,0,0,0,0
Emma,408,Emma,0,[nsubj  xcomp  nmod],grew,0,at,sound,0
Emma,698,Emma,offer,[nsubj  nsubj  dobj  nsubj  dobj],accept,0,0,0,0
Emma,392,Emma,Very,[nmod  nsubj  aux  ccomp  dobj  advmod],get,0,0,0,0
Emma,531,Emma,them,[advcl  nsubj  dobj  xcomp],pressed,0,0,0,0
Emma,547,Emma,none,[nsubj  dobj  nmod  advmod  cc  conj],denied,0,0,0,0
Emma,59,0,0,[case  nmod:poss  amod  amod],faults,0,0,0,0
Emma,479,Emma,which,[dobj  nsubj  aux  neg  dobj  nmod],hear,0,without,surprize,0
Emma,671,Emma,0,[nsubjpass  auxpass  advmod  nmod],saved,0,0,0,0
Emma,369,Emma,her,[nsubj  dobj  nmod],joined,0,0,0,0
Emma,192,Emma,0,[nsubj  nmod],spoke,0,0,0,0
Emma,329,0,Emma,[mark  dobj  xcomp],allow,0,0,0,0
Emma,504,III,pleasure,[discourse  nsubj  advmod  iobj  dobj],gave,Emma,0,0,0
Emma,56,0,0,[nmod:poss  dep],s,0,',Emma,0
Emma,644,0,0,[compound],feelingly,0,0,0,0
Emma,558,Emma,smile,[cc  nsubj  dobj],received,0,0,0,0
Emma,116,Knightley,0,[advcl  nsubj  aux  nmod  cc  conj  nsubj  aux  neg  nmod],quarrel,0,with,herself,0
Emma,420,Emma,0,[nsubj  nmod  advcl],made,0,0,0,0
Emma,231,Churchill,0,[nsubj  nmod  advmod],Depend,0,0,0,0
Emma,286,Emma,0,[nsubj  aux  xcomp  cc  conj],look,0,unconscious,look,0
Emma,356,0,Churchill,[ccomp  dobj  advcl  dep],said,0,0,0,0
Emma,354,Emma,time,[advcl  nsubj  dobj  nmod  advcl],found,0,0,0,0
Emma,623,0,0,[case  appos],short,0,0,0,0
Emma,445,Emma,pressure,[dep  nsubj  dobj  nmod  cc  conj],returned,0,pleased,returned,0
Emma,103,0,0,[mark  cop  dep],sure,0,Emma,sure,0
Emma,136,0,0,[nmod:poss  amod],remark,0,s,remark,0
Emma,692,0,Emma,[dobj],said,0,0,0,0
Emma,349,it,Emma,[mark  nmod  nsubj  dobj  xcomp],suited,0,0,0,0
Emma,516,Emma,piece,[advcl  nsubj  dobj],saw,0,0,0,0
Emma,224,Emma,0,[nsubj  cop  case  det  nmod  cc  conj],humour,0,0,0,0
Emma,552,Emma,0,[mark  nsubj  aux  cop  case  det  ccomp],Abbey,0,0,0,0
Emma,298,0,0,[nmod],enough,0,for,Emma,0
Emma,412,Emma,0,[nsubj  parataxis  dep],continued,0,0,0,0
Emma,705,He,0,[nsubj  aux  cop  case  nmod],love,0,0,0,0
Emma,402,Emma,0,[mark  nsubj  aux  cc  conj],supposed,0,0,0,0
Emma,300,Emma,0,[nsubj  cc  conj  dep],watched,0,0,0,0
Emma,207,0,0,[nmod:poss  cc  conj],father,0,0,0,0
Emma,387,Emma,prospect,[nsubj  aux  dobj],tolerate,0,0,0,0
